date,transactions
1/4/2020,2724213
5/12/2020,1692106
7/31/2020,1779223
10/16/2020,1716157
6/8/2021,1923661
3/1/2022,1907065
9/26/2022,2009787
3/29/2024,2202675
7/30/2018,2043484
9/7/2018,2232234
10/17/2018,2001759
11/16/2018,2351568
3/10/2019,2475994
7/4/2019,2779992
2/1/2020,2849145
9/6/2020,1560031
12/3/2020,1787667
4/4/2021,1378049
4/30/2021,2070314
9/3/2021,2232662
12/29/2021,2198466
2/5/2023,2035340
9/21/2023,1795439
3/4/2024,1734705
8/19/2018,2198278
10/20/2018,2334378
2/7/2019,1812156
12/10/2020,1813035
2/19/2021,1859929
11/14/2023,1818342
2/20/2019,1958434
10/21/2019,2324964
11/11/2019,2128441
7/18/2020,1734341
11/22/2020,1908600
7/11/2022,2101052
10/14/2022,2261425
11/4/2022,2260326
5/1/2023,1766179
5/17/2023,1878490
6/11/2019,2421423
6/20/2020,2345826
3/2/2021,1670910
7/2/2023,1919825
8/23/2023,1801023
9/5/2023,1814040
2/8/2019,2054323
7/31/2019,2401689
7/23/2020,1646843
11/24/2020,2055358
3/25/2021,1793903
11/14/2022,2123949
6/4/2023,2003672
10/31/2023,1708135
11/26/2023,1762424
1/13/2024,1532953
2/19/2024,1763113
1/2/2019,1916031
7/15/2019,2545077
3/2/2020,2306396
4/11/2021,1920332
4/20/2021,1729673
2/23/2022,1899544
5/18/2022,2028546
10/5/2022,1951698
10/8/2022,2217085
5/21/2023,1988480
10/15/2023,1855541
12/14/2023,2003236
2/25/2024,1801728
4/9/2019,2236310
4/15/2019,2397075
1/11/2020,2333144
1/13/2020,2315811
4/24/2020,1679862
6/16/2020,1965762
8/25/2020,1537654
12/2/2020,1726986
6/26/2021,2039679
7/30/2022,2232024
11/7/2022,2183544
1/26/2023,1776354
7/28/2023,2061664
2/5/2019,1871599
2/12/2019,1726766
2/14/2019,2480262
10/28/2019,2382153
1/28/2020,2145358
4/28/2020,1598892
7/4/2021,1909003
1/5/2023,1933286
2/6/2023,1875038
9/15/2023,2005988
1/5/2024,1966361
8/25/2018,2341109
9/28/2019,2744050
12/15/2019,2842015
1/22/2020,2215762
9/21/2021,1841265
10/10/2021,2027117
10/29/2021,2330394
2/21/2022,2027676
4/28/2023,1933369
2/12/2024,1699756
9/5/2018,1970460
11/15/2018,1952370
8/26/2019,2381289
7/26/2020,1572032
11/10/2021,2073412
2/19/2022,2125029
3/14/2022,1956928
5/20/2022,2305440
7/13/2023,1910097
8/1/2023,1898269
8/18/2023,2036776
12/20/2023,2270951
12/24/2023,2141366
1/13/2019,1978727
3/23/2019,2719415
3/22/2020,1597950
10/12/2020,1486346
6/12/2022,2229869
10/26/2022,2046585
2/2/2023,1908305
2/19/2023,1795112
3/17/2023,1878079
3/20/2023,1745437
1/26/2024,1883331
7/6/2019,2713673
6/9/2020,1964185
3/30/2021,1751929
7/25/2021,1985795
8/28/2021,2144217
8/30/2021,1946807
10/17/2021,2136175
3/7/2022,1859567
7/2/2022,2543265
10/21/2022,2216196
9/30/2023,1972395
12/18/2023,2013397
1/31/2024,1692902
7/14/2019,2685376
10/25/2019,2717637
11/12/2019,2165784
1/3/2020,2655438
9/22/2023,1968142
2/11/2024,1897032
8/7/2018,2037410
9/22/2018,2309794
1/12/2019,2028764
1/7/2020,2248590
2/8/2020,2653139
3/5/2021,1896259
3/18/2021,1711218
4/16/2021,1979285
5/4/2021,1810637
6/11/2022,2272530
8/25/2023,1999246
